Sample	R1	R2	plate	location	name	group	genotype	sex
MB027-C03	/mnt/data/sbusi/vip/data/fastq/MB027_C03_S27_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB027_C03_S27_R2_001.fastq.gz	180817_MB	C03	MB027	VPAC1	HET	Male
MB027-D4	/mnt/data/sbusi/vip/data/fastq/MB027_D4_S40_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB027_D4_S40_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	D4	MB027	VIP	WT	Female
MB028-C04	/mnt/data/sbusi/vip/data/fastq/MB028_C04_S28_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB028_C04_S28_R2_001.fastq.gz	180817_MB	C04	MB028	VPAC1	HET	Male
MB028-D5	/mnt/data/sbusi/vip/data/fastq/MB028_D5_S41_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB028_D5_S41_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	D5	MB028	VIP	WT	Female
MB029-C05	/mnt/data/sbusi/vip/data/fastq/MB029_C05_S29_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB029_C05_S29_R2_001.fastq.gz	180817_MB	C05	MB029	VPAC1	HET	Male
MB029-D6	/mnt/data/sbusi/vip/data/fastq/MB029_D6_S42_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB029_D6_S42_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	D6	MB029	VIP	WT	Female
MB030-C06	/mnt/data/sbusi/vip/data/fastq/MB030_C06_S30_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB030_C06_S30_R2_001.fastq.gz	180817_MB	C06	MB030	VPAC1	HET	Male
MB030-D7	/mnt/data/sbusi/vip/data/fastq/MB030_D7_S43_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB030_D7_S43_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	D7	MB030	VIP	WT	Female
MB031-C07	/mnt/data/sbusi/vip/data/fastq/MB031_C07_S31_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB031_C07_S31_R2_001.fastq.gz	180817_MB	C07	MB031	VPAC1	HET	Male
MB031-D8	/mnt/data/sbusi/vip/data/fastq/MB031_D8_S44_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB031_D8_S44_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	D8	MB031	VIP	WT	Female
